,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad,Concentration
0,0.3867508333333333,0.5322658333333333,0.5391983333333333,0.18713083333333336,0.39942208333333334,0.47012375,0.0012544638101680125,2.80459892029108e-06,0.0
0,0.050038839147101444,-0.03543053437463768,0.030702607223188405,0.0331125320384058,0.007717729659057972,0.005635158905434785,-7.232663181142121e-05,1.6238554553377716e-07,0.0
1,-0.03543053437463768,0.03523442872101451,-0.019851103924637674,-0.04050873691376812,-0.00659262641268116,-0.005819073701086959,6.048461179153967e-05,-4.186095833690606e-08,0.0
2,0.030702607223188405,-0.019851103924637674,0.021852269466666678,0.015113786657971017,0.004983339803623188,0.0032910852065217416,-5.039794798917247e-05,1.0123561884189155e-07,0.0
3,0.0331125320384058,-0.04050873691376812,0.015113786657971017,0.07171416459927538,0.007247495693840581,0.009817235383695654,-8.147078165529502e-05,-1.0030720715897659e-07,0.0
4,0.007717729659057972,-0.00659262641268116,0.004983339803623188,0.007247495693840581,0.0037397778346014493,0.0011922420309782617,-1.0405566618227787e-05,5.600104603924588e-08,0.0
5,0.005635158905434785,-0.005819073701086959,0.0032910852065217416,0.009817235383695654,0.0011922420309782617,0.0028863369809782615,-1.5593589969915523e-05,3.60590165415017e-08,0.0
6,-7.232663181142121e-05,6.048461179153967e-05,-5.039794798917247e-05,-8.147078165529502e-05,-1.0405566618227787e-05,-1.5593589969915523e-05,3.827411855596178e-07,3.351703097608506e-10,0.0
7,1.6238554553377716e-07,-4.186095833690606e-08,1.0123561884189155e-07,-1.0030720715897659e-07,5.600104603924588e-08,3.60590165415017e-08,3.351703097608506e-10,1.3622764661559865e-11,0.0
0,0.34380375,0.5852025,0.4624520833333334,0.25843750000000004,0.41467625,0.4793729166666667,0.0013405746713395167,-1.1542490291804728e-06,0.002
0,0.02580927520706522,-0.007050464196739126,0.014274253035326086,0.0026791622532608664,-0.0029220726809782624,-0.004441700685326089,2.351367593825265e-05,3.2487409888216344e-07,0.002
1,-0.007050464196739126,0.050246932993478266,-0.025773523831521747,0.008011084997826089,0.002156934909782607,-0.004043861685869567,2.314505581907831e-05,-3.880097617970814e-07,0.002
2,0.014274253035326086,-0.025773523831521747,0.03051169323460145,-0.01615206872065218,0.004087697290760869,0.005644678845833335,9.637808025084054e-06,6.734677033590543e-07,0.002
3,0.0026791622532608664,0.008011084997826089,-0.01615206872065218,0.08928371991521739,-0.003500017379347828,0.015224426516304346,-3.3740805286188324e-05,-1.0669667936304992e-06,0.002
4,-0.0029220726809782624,0.002156934909782607,0.004087697290760869,-0.003500017379347828,0.038120905676630436,0.011283640954891304,-4.847166494139467e-06,-7.90083284626502e-07,0.002
5,-0.004441700685326089,-0.004043861685869567,0.005644678845833335,0.015224426516304346,0.011283640954891304,0.03257566269981884,-9.258942609551526e-06,-1.0556665362854527e-06,0.002
6,2.351367593825265e-05,2.314505581907831e-05,9.637808025084054e-06,-3.3740805286188324e-05,-4.847166494139467e-06,-9.258942609551526e-06,3.7011541377776785e-07,1.9448861373971923e-09,0.002
7,3.2487409888216344e-07,-3.880097617970814e-07,6.734677033590543e-07,-1.0669667936304992e-06,-7.90083284626502e-07,-1.0556665362854527e-06,1.9448861373971923e-09,1.886498104449282e-10,0.002
0,0.36029708333333327,0.5856854166666666,0.4515404166666667,0.32638083333333334,0.41945875,0.47465874999999996,0.00163720096969495,-9.822419466941176e-06,0.02
0,0.038948538004166665,-0.028954628835688407,0.008881830801268111,0.008065220341666667,0.0038783177657608714,-0.0016278726429347818,-5.11575812017142e-05,8.463635711554817e-07,0.02
1,-0.028954628835688407,0.030781541243297107,-0.006635220567572463,-0.0022810837525362357,-0.007349761049456523,-0.0006001719842391313,1.1041368472130669e-05,-8.57828459789013e-07,0.02
2,0.008881830801268111,-0.006635220567572463,0.01165122203025362,-0.021317726256884054,-0.002839718929891304,-0.001673771269021739,3.645949473680714e-05,1.9494637958687003e-06,0.02
3,0.008065220341666667,-0.0022810837525362357,-0.021317726256884054,0.09345758356449273,0.006312399735869565,0.009824212253260871,-0.00011646433961210226,-4.783211723563672e-06,0.02
4,0.0038783177657608714,-0.007349761049456523,-0.002839718929891304,0.006312399735869565,0.023954182733152172,0.0031747513331521733,-5.412534780775698e-06,1.4109108506668565e-08,0.02
5,-0.0016278726429347818,-0.0006001719842391313,-0.001673771269021739,0.009824212253260871,0.0031747513331521733,0.008218990924456522,-4.817731169967997e-06,-4.3370910158754817e-07,0.02
6,-5.11575812017142e-05,1.1041368472130669e-05,3.645949473680714e-05,-0.00011646433961210226,-5.412534780775698e-06,-4.817731169967997e-06,9.1512019686326e-07,9.480824077616148e-09,0.02
7,8.463635711554817e-07,-8.57828459789013e-07,1.9494637958687003e-06,-4.783211723563672e-06,1.4109108506668565e-08,-4.3370910158754817e-07,9.480824077616148e-09,4.781017124414726e-10,0.02
0,0.3353486956521739,0.5509773913043479,0.5272417391304348,0.0653608695652174,0.3731217391304348,0.48357347826086966,0.0016914869868604435,1.1655833160759021e-05,0.04
0,0.013192793875494073,-0.01168356565355731,0.008926970188735176,0.003050243287549406,0.004011349734189723,0.01543979135474308,-3.676390094612434e-05,7.650612174749358e-08,0.04
1,-0.01168356565355731,0.027080386247430827,-0.0071018523498023725,-0.004059071615810275,-0.006301996927075098,-0.015029237304150195,4.1139533652798106e-05,-2.568141738978392e-07,0.04
2,0.008926970188735176,-0.0071018523498023725,0.00809957413320158,0.0011837502802371544,-0.00047196094861660107,0.011381760975494074,-2.813898582915542e-05,-2.0144887595572565e-08,0.04
3,0.003050243287549406,-0.004059071615810275,0.0011837502802371544,0.002752403635573122,0.0035158880075098816,0.0023860517877470353,-5.0962565139733196e-06,6.317972167060714e-08,0.04
4,0.004011349734189723,-0.006301996927075098,-0.00047196094861660107,0.0035158880075098816,0.01511209102411067,0.0025969004936758893,1.3764762760382585e-05,2.405024844704962e-07,0.04
5,0.01543979135474308,-0.015029237304150195,0.011381760975494074,0.0023860517877470353,0.0025969004936758893,0.029262763460079055,-3.326251716350737e-05,-4.9035422299217384e-08,0.04
6,-3.676390094612434e-05,4.1139533652798106e-05,-2.813898582915542e-05,-5.0962565139733196e-06,1.3764762760382585e-05,-3.326251716350737e-05,3.452580718200007e-07,3.253656137718567e-10,0.04
7,7.650612174749358e-08,-2.568141738978392e-07,-2.0144887595572565e-08,6.317972167060714e-08,2.405024844704962e-07,-4.9035422299217384e-08,3.253656137718567e-10,2.650509150519141e-11,0.04
0,0.369436956521739,0.5784100000000001,0.5344543478260869,0.1522082608695652,0.40921391304347826,0.46739695652173924,0.0033621122257828434,6.457313184637054e-06,0.1
0,0.015819952276679844,-0.005517106440909091,0.007784694786561266,0.012339883703557314,0.001284127957905138,-0.0005829802324110682,-8.114600106181349e-05,2.59888813650358e-07,0.1
1,-0.005517106440909091,0.008087733790909091,-0.003639230531818182,-0.007227716309090909,-0.0023513549590909078,-0.0026442632000000022,5.525203692731769e-05,-1.0688726023006513e-07,0.1
2,0.007784694786561266,-0.003639230531818182,0.007162739516600793,0.007082031907905137,0.0023907914685770745,0.0025232090956521748,-6.269577197484675e-05,1.4800211843228923e-07,0.1
3,0.012339883703557314,-0.007227716309090909,0.007082031907905137,0.01788025431501977,0.003898730570750988,0.0036490293990118577,-6.229950787684282e-05,-5.467783567075158e-08,0.1
4,0.001284127957905138,-0.0023513549590909078,0.0023907914685770745,0.003898730570750988,0.0068674333339920944,0.0018657700124505932,-1.651984728392561e-05,-3.199482930574541e-08,0.1
5,-0.0005829802324110682,-0.0026442632000000022,0.0025232090956521748,0.0036490293990118577,0.0018657700124505932,0.022365568840316208,-9.880722402845048e-06,-8.33090327965231e-08,0.1
6,-8.114600106181349e-05,5.525203692731769e-05,-6.269577197484675e-05,-6.229950787684282e-05,-1.651984728392561e-05,-9.880722402845048e-06,2.194556808853789e-06,-2.2380918845366524e-09,0.1
7,2.59888813650358e-07,-1.0688726023006513e-07,1.4800211843228923e-07,-5.467783567075158e-08,-3.199482930574541e-08,-8.33090327965231e-08,-2.2380918845366524e-09,1.7061019425613238e-11,0.1
0,0.33981681818181814,0.5841654545454547,0.49950545454545464,0.2337327272727273,0.4823377272727272,0.503855909090909,0.004663903174096319,6.918385263234677e-07,0.2
0,0.015800081708441563,-0.004450821777056277,-0.00036573497705627567,0.017941604390043293,0.0044075066019480524,-0.0006662484231601733,-2.585520757986159e-05,-2.9374240574368516e-07,0.2
1,-0.004450821777056277,0.003201861816450215,0.00012516654502164447,-0.006077183153679652,-0.002754861291774892,0.0010018334662337655,3.0320398932666057e-05,6.173788030248692e-08,0.2
2,-0.00036573497705627567,0.00012516654502164447,0.008770358502164503,0.003982839303463205,0.0011978527748917763,0.00458339241861472,-4.6742904559736455e-05,-1.970139207701316e-07,0.2
3,0.017941604390043293,-0.006077183153679652,0.003982839303463205,0.036667016516017316,0.010673549116017318,0.0035101112402597377,5.426373496486971e-05,-5.941464694091846e-07,0.2
4,0.0044075066019480524,-0.002754861291774892,0.0011978527748917763,0.010673549116017318,0.02651178681839827,0.012747892714069259,-4.2121360197491515e-05,2.1470726504327536e-08,0.2
5,-0.0006662484231601733,0.0010018334662337655,0.00458339241861472,0.0035101112402597377,0.012747892714069259,0.020143914120562767,-0.00010434663494242498,-1.4781626643793379e-07,0.2
6,-2.585520757986159e-05,3.0320398932666057e-05,-4.6742904559736455e-05,5.426373496486971e-05,-4.2121360197491515e-05,-0.00010434663494242498,3.496647802277157e-06,1.587124013535416e-09,0.2
7,-2.9374240574368516e-07,6.173788030248692e-08,-1.970139207701316e-07,-5.941464694091846e-07,2.1470726504327536e-08,-1.4781626643793379e-07,1.587124013535416e-09,2.8921031522411722e-11,0.2
0,0.2996375,0.6152025,0.49159916666666675,0.17068499999999998,0.39778416666666666,0.44796208333333337,0.006714201431279658,1.1756075258768338e-06,0.4
0,0.005018976054347826,0.00022421878043478227,-0.002207221832608696,0.004984910886956523,0.0018583574369565221,0.0016227576880434795,-6.852515732798947e-06,2.9547874882833024e-08,0.4
1,0.00022421878043478227,0.0027064624108695647,0.0010739341021739133,-0.0039305737391304345,-0.00027226745869565256,-0.00011189237934782584,3.943477233526984e-06,-7.506575261693434e-09,0.4
2,-0.002207221832608696,0.0010739341021739133,0.004277997668840579,-0.0006057178130434802,-0.00020628533550724762,-0.0013163432590579704,-6.74860337137714e-06,1.1538901203209198e-08,0.4
3,0.004984910886956523,-0.0039305737391304345,-0.0006057178130434802,0.017235855947826093,0.0038082346478260872,0.0007480737326086964,-1.835419956762278e-05,6.731029159842844e-08,0.4
4,0.0018583574369565221,-0.00027226745869565256,-0.00020628533550724762,0.0038082346478260872,0.004583667373188407,0.00033118198659420325,-1.5277167600363858e-06,4.035650374325933e-08,0.4
5,0.0016227576880434795,-0.00011189237934782584,-0.0013163432590579704,0.0007480737326086964,0.00033118198659420325,0.008704801495471017,9.040836307837786e-07,-6.917772256056561e-09,0.4
6,-6.852515732798947e-06,3.943477233526984e-06,-6.74860337137714e-06,-1.835419956762278e-05,-1.5277167600363858e-06,9.040836307837786e-07,5.606989712540634e-07,-3.119455141289035e-10,0.4
7,2.9547874882833024e-08,-7.506575261693434e-09,1.1538901203209198e-08,6.731029159842844e-08,4.035650374325933e-08,-6.917772256056561e-09,-3.119455141289035e-10,1.9187078170700646e-12,0.4
0,0.3166973913043478,0.5674199999999999,0.4703,0.2123908695652174,0.4535973913043478,0.4728921739130434,0.00784817174978682,-7.989874837372301e-07,1.0
0,0.007640453020158103,-0.002964006445454546,-0.0029512114681818193,0.007414653129644268,0.002616092797430831,0.0020762631013834004,-2.3586149794672625e-05,-3.070953255652538e-08,1.0
1,-0.002964006445454546,0.006058251118181817,0.008158124850000002,-0.003589034131818183,-0.00559794077727273,-0.0031536268909090922,5.231939945647808e-06,2.1803249110169476e-08,1.0
2,-0.0029512114681818193,0.008158124850000002,0.013463154163636363,-0.002147025222727274,-0.006534317963636363,-0.0044387864409090915,4.158980767341208e-06,1.4077433519785107e-08,1.0
3,0.007414653129644268,-0.003589034131818183,-0.002147025222727274,0.010822112326482215,0.006693380025098815,-7.542320158102666e-06,-2.1009411713833146e-05,-5.726282581097816e-08,1.0
4,0.002616092797430831,-0.00559794077727273,-0.006534317963636363,0.006693380025098815,0.02112122632924902,0.006675267255928854,2.279230588790856e-05,-4.053712729822856e-08,1.0
5,0.0020762631013834004,-0.0031536268909090922,-0.0044387864409090915,-7.542320158102666e-06,0.006675267255928854,0.018702851499604742,1.3290508325783076e-05,1.1013404380477754e-08,1.0
6,-2.3586149794672625e-05,5.231939945647808e-06,4.158980767341208e-06,-2.1009411713833146e-05,2.279230588790856e-05,1.3290508325783076e-05,1.1058207507250026e-06,1.7333314383144633e-10,1.0
7,-3.070953255652538e-08,2.1803249110169476e-08,1.4077433519785107e-08,-5.726282581097816e-08,-4.053712729822856e-08,1.1013404380477754e-08,1.7333314383144633e-10,1.419549743251992e-12,1.0
0,0.37949083333333333,0.5463679166666666,0.44357916666666664,0.3381091666666667,0.4908625,0.5114629166666668,0.011154395270641493,-3.8272733543404796e-07,2.0
0,0.012473329912318842,0.0012050555278985506,-0.004268953816666667,0.006066015187681159,0.003435050093478262,0.0011368601018115943,-4.998449053071262e-05,-8.201254241736249e-10,2.0
1,0.0012050555278985506,0.0029290769128623184,0.0005221126112318843,-0.0030573212061594207,3.0278331521737085e-05,0.0013446118063405775,8.728216258224334e-06,6.778366468068403e-09,2.0
2,-0.004268953816666667,0.0005221126112318843,0.004825366547101448,0.00017101853405797034,-0.002173351106521739,-0.000933626936594203,-1.8852520633043201e-06,-1.3341717649629176e-08,2.0
3,0.006066015187681159,-0.0030573212061594207,0.00017101853405797034,0.014498638355797103,0.0032527165760869573,0.00040864196340579823,-6.617327721430241e-05,-3.874804024704325e-08,2.0
4,0.003435050093478262,3.0278331521737085e-05,-0.002173351106521739,0.0032527165760869573,0.024512546097826087,0.008643361674999997,-8.883147336235729e-05,9.415910393154353e-09,2.0
5,0.0011368601018115943,0.0013446118063405775,-0.000933626936594203,0.00040864196340579823,0.008643361674999997,0.013245327325905795,1.0697359173782016e-05,2.4551277505538143e-08,2.0
6,-4.998449053071262e-05,8.728216258224334e-06,-1.8852520633043201e-06,-6.617327721430241e-05,-8.883147336235729e-05,1.0697359173782016e-05,3.0694711626821993e-06,5.72662715546377e-10,2.0
7,-8.201254241736249e-10,6.778366468068403e-09,-1.3341717649629176e-08,-3.874804024704325e-08,9.415910393154353e-09,2.4551277505538143e-08,5.72662715546377e-10,9.80097815427852e-13,2.0
0,0.32444047619047617,0.580512380952381,0.510852857142857,0.23962619047619046,0.38190476190476186,0.4536190476190476,0.012001732815708911,1.4647489821383782e-06,4.0
0,0.005542071114761905,0.0017892384688095232,-0.001536576246428571,0.0017582167869047618,0.0001341755926190476,0.00315027804547619,3.3065513831532264e-05,4.5436985244094e-09,4.0
1,0.0017892384688095232,0.001987215809047619,0.000387611562857143,-0.0003570871504761904,3.0492278095238676e-05,0.0005167908723809514,1.0030283356355392e-05,6.036435047666771e-09,4.0
2,-0.001536576246428571,0.000387611562857143,0.0016323242714285707,-0.0005981847935714288,0.0002709473357142852,-0.000816595552142856,-1.3215062666591644e-05,-4.886307086831006e-10,4.0
3,0.0017582167869047618,-0.0003570871504761904,-0.0005981847935714288,0.0021870981047619046,0.000271147649047619,0.0010174198161904762,5.810009900731424e-06,-1.9669592773707958e-08,4.0
4,0.0001341755926190476,3.0492278095238676e-05,0.0002709473357142852,0.000271147649047619,0.0055644395261904775,0.0014488397947619055,-4.17740012619287e-06,-1.3553001041105808e-08,4.0
5,0.00315027804547619,0.0005167908723809514,-0.000816595552142856,0.0010174198161904762,0.0014488397947619055,0.010280705479047622,1.4438510889549947e-05,-1.0000672205758856e-08,4.0
6,3.3065513831532264e-05,1.0030283356355392e-05,-1.3215062666591644e-05,5.810009900731424e-06,-4.17740012619287e-06,1.4438510889549947e-05,7.43531912391721e-07,2.459127827706957e-10,4.0
7,4.5436985244094e-09,6.036435047666771e-09,-4.886307086831006e-10,-1.9669592773707958e-08,-1.3553001041105808e-08,-1.0000672205758856e-08,2.459127827706957e-10,7.113425671257267e-13,4.0
0,0.337485,0.5900986363636365,0.4946572727272727,0.17844681818181815,0.3773181818181819,0.4673009090909091,0.013979299117738821,2.0308190520371845e-06,10.0
0,0.004195891902380952,0.00013551807380952387,-0.0013562350095238092,0.0019301220928571426,-0.0005257727619047625,0.0006515688714285713,4.101458775776083e-06,1.1142887911620693e-08,10.0
1,0.00013551807380952387,0.001863192079004329,0.0006033983722943721,-0.0008665475712121215,-0.0007171409454545458,-0.00022766105584415568,1.0291650303654491e-05,-7.261248359707404e-09,10.0
2,-0.0013562350095238092,0.0006033983722943721,0.001865714077922078,-0.00016963093766233765,0.0007093013948051951,-0.0005897524593073591,5.24996858209097e-06,6.635831345609845e-09,10.0
3,0.0019301220928571426,-0.0008665475712121215,-0.00016963093766233765,0.0028990993655844148,0.0001188795415584413,-0.00011129933030303071,3.2134148143631274e-06,1.0344029217439837e-08,10.0
4,-0.0005257727619047625,-0.0007171409454545458,0.0007093013948051951,0.0001188795415584413,0.005054704082251082,0.0014500734493506488,-3.256673868148025e-05,4.6204839954499594e-10,10.0
5,0.0006515688714285713,-0.00022766105584415568,-0.0005897524593073591,-0.00011129933030303071,0.0014500734493506488,0.01027554112294372,-2.3001772288361786e-05,-3.691214054594481e-08,10.0
6,4.101458775776083e-06,1.0291650303654491e-05,5.24996858209097e-06,3.2134148143631274e-06,-3.256673868148025e-05,-2.3001772288361786e-05,1.2995054904796305e-06,1.514964610007023e-10,10.0
7,1.1142887911620693e-08,-7.261248359707404e-09,6.635831345609845e-09,1.0344029217439837e-08,4.6204839954499594e-10,-3.691214054594481e-08,1.514964610007023e-10,6.114702617163421e-13,10.0
0,0.3072458333333334,0.6019054166666666,0.49879125,0.14326833333333333,0.43152708333333334,0.47747333333333336,0.013955264106184731,1.9916937433855933e-06,20.0
0,0.002623078086231884,0.0008902399670289858,-0.0007829986032608699,2.258931449275357e-05,-0.0002492035518115941,-4.989013768115834e-05,1.3059151252889457e-05,-6.023616135184358e-09,20.0
1,0.0008902399670289858,0.002202171843297102,0.0010348750668478257,8.94302528985502e-05,0.00010512329909420309,-0.0002455196275362302,6.2697955879309035e-06,-3.0085266335959368e-09,20.0
2,-0.0007829986032608699,0.0010348750668478257,0.0018489205940217391,0.0008696888413043477,0.00036784950815217405,-0.0012444377608695648,-5.855287864807914e-06,6.000500122426183e-09,20.0
3,2.258931449275357e-05,8.94302528985502e-05,0.0008696888413043477,0.0017456642405797105,2.1526860144927455e-05,-0.0017221332463768116,5.239596583558069e-06,2.9387854226191084e-09,20.0
4,-0.0002492035518115941,0.00010512329909420309,0.00036784950815217405,2.1526860144927455e-05,0.003824750638949275,0.0015360203710144936,-9.784739026140536e-06,9.540736285097375e-09,20.0
5,-4.989013768115834e-05,-0.0002455196275362302,-0.0012444377608695648,-0.0017221332463768116,0.0015360203710144936,0.0066102344318840585,-2.1094587885297587e-05,-1.8288539840696443e-09,20.0
6,1.3059151252889457e-05,6.2697955879309035e-06,-5.855287864807914e-06,5.239596583558069e-06,-9.784739026140536e-06,-2.1094587885297587e-05,1.0669011700537503e-06,-2.1358940912032078e-10,20.0
7,-6.023616135184358e-09,-3.0085266335959368e-09,6.000500122426183e-09,2.9387854226191084e-09,9.540736285097375e-09,-1.8288539840696443e-09,-2.1358940912032078e-10,1.4373709106287598e-13,20.0
0,0.289271935483871,0.6201870967741935,0.5294351612903225,0.07926161290322581,0.3907241935483871,0.46137870967741945,0.012674169461614796,1.0622629734516613e-06,40.0
0,0.001419415376129032,0.0005672975458064515,-0.00012125429698924769,0.0001661480134408602,-0.00021229592838709687,-5.243289075268829e-05,1.2844514034610726e-07,8.90589094266651e-09,40.0
1,0.0005672975458064515,0.0013167319946236556,0.0005671502721505376,0.00017380908150537645,0.000998868095913978,0.00022857009946236512,-1.4582506033782079e-05,1.7115034821259947e-08,40.0
2,-0.00012125429698924769,0.0005671502721505376,0.0007209085391397849,0.0003703300113978494,0.00048770144763440843,-1.6508309784946107e-05,-1.0521634118971087e-05,5.794495664708509e-09,40.0
3,0.0001661480134408602,0.00017380908150537645,0.0003703300113978494,0.0006721430806451612,-0.0003297561036559141,0.0002848899288172042,-3.122696812054757e-06,5.292019975130833e-09,40.0
4,-0.00021229592838709687,0.000998868095913978,0.00048770144763440843,-0.0003297561036559141,0.0038580526584946237,0.0009613729822580643,-1.764144701765729e-05,8.37746438134302e-09,40.0
5,-5.243289075268829e-05,0.00022857009946236512,-1.6508309784946107e-05,0.0002848899288172042,0.0009613729822580643,0.0038507709516129034,1.05570694145764e-06,-3.2429602583090406e-09,40.0
6,1.2844514034610726e-07,-1.4582506033782079e-05,-1.0521634118971087e-05,-3.122696812054757e-06,-1.764144701765729e-05,1.05570694145764e-06,8.367911089951404e-07,-4.1230123960182685e-10,40.0
7,8.90589094266651e-09,1.7115034821259947e-08,5.794495664708509e-09,5.292019975130833e-09,8.37746438134302e-09,-3.2429602583090406e-09,-4.1230123960182685e-10,9.002673169548366e-13,40.0
